baseline_method,sample_id,sample_potential_mV_vs_AgAgCl,manual_potential_mV_vs_AgAgCl,potential_gap_mV,manual_centre_cm1,manual_height,aspls_centre_cm1,aspls_height,centre_abs_error_cm1,height_abs_error,height_relative_error_percent,peak_match,match_reason,nearest_fitted_centre_cm1,nearest_centre_distance_cm1
asPLS,011m,-425.0,-425.0,0.0,1946.0,0.04021,1946.128746040145,0.0755624984453937,0.12874604014496072,0.0353524984453937,87.91966785723376,True,nearest_peak_within_tolerance,1946.128746040145,0.12874604014496072
asPLS,011m,-425.0,-425.0,0.0,1965.0,0.04169,1966.4316915987908,0.0556202595645294,1.4316915987908487,0.013930259564529403,33.41391116461838,True,nearest_peak_within_tolerance,1966.4316915987908,1.4316915987908487
asPLS,011m,-425.0,-425.0,0.0,2074.0,0.0113,,,,,,False,nearest_peak_outside_centre_tolerance,2087.4755406107643,13.475540610764256
asPLS,011m,-425.0,-425.0,0.0,2084.0,0.01971,,,,,,False,nearest_peak_outside_centre_tolerance,2087.4755406107643,3.4755406107642557
asPLS,011m,-425.0,-425.0,0.0,1909.3,0.01614,1910.549063318597,0.022757920348105,1.2490633185971092,0.006617920348104999,41.00322396595414,True,nearest_peak_within_tolerance,1910.549063318597,1.2490633185971092
asPLS,011m,-425.0,-425.0,0.0,2063.0,0.00364,,,,,,False,nearest_peak_outside_centre_tolerance,2087.4755406107643,24.475540610764256
asPLS,011m,-425.0,-425.0,0.0,1952.0,0.00514,,,,,,False,nearest_peak_outside_centre_tolerance,1946.128746040145,5.871253959855039
asPLS,011m,-425.0,-425.0,0.0,1914.0,0.0031,,,,,,False,nearest_peak_outside_centre_tolerance,1910.549063318597,3.4509366814029363
asPLS,011n,-450.0,-425.0,25.0,1937.90942,0.0015,,,,,,False,nearest_peak_outside_centre_tolerance,1946.0878971340076,8.178477134007608
asPLS,011n,-450.0,-425.0,25.0,2058.0,0.0037,,,,,,False,nearest_peak_outside_centre_tolerance,2087.863004948351,29.863004948350863
asPLS,011n,-450.0,-425.0,25.0,1946.0,0.04021,1946.0878971340076,0.059813482340914,0.08789713400756227,0.019603482340913997,48.752753894339705,True,nearest_peak_within_tolerance,1946.0878971340076,0.08789713400756227
asPLS,011n,-450.0,-425.0,25.0,1965.0,0.04169,1966.484031513844,0.068247722793465,1.484031513844002,0.026557722793465,63.70286110209883,True,nearest_peak_within_tolerance,1966.484031513844,1.484031513844002
asPLS,011n,-450.0,-425.0,25.0,2074.0,0.0113,,,,,,False,nearest_peak_outside_centre_tolerance,2087.863004948351,13.863004948350863
asPLS,011n,-450.0,-425.0,25.0,2084.0,0.01971,,,,,,False,nearest_peak_outside_centre_tolerance,2087.863004948351,3.863004948350863
asPLS,011n,-450.0,-425.0,25.0,1909.3,0.01614,1910.528347676701,0.0230788552992771,1.2283476767011052,0.006938855299277097,42.99166852092377,True,nearest_peak_within_tolerance,1910.528347676701,1.2283476767011052
asPLS,011n,-450.0,-425.0,25.0,2063.0,0.00364,,,,,,False,nearest_peak_outside_centre_tolerance,2087.863004948351,24.863004948350863
asPLS,011n,-450.0,-425.0,25.0,1952.0,0.00514,,,,,,False,nearest_peak_outside_centre_tolerance,1946.0878971340076,5.912102865992438
asPLS,011n,-450.0,-425.0,25.0,1914.0,0.0031,,,,,,False,nearest_peak_outside_centre_tolerance,1910.528347676701,3.4716523232989402
asPLS,011o,-475.0,-525.0,50.0,2076.0,0.00959,,,,,,False,nearest_peak_outside_centre_tolerance,2087.6836769520005,11.683676952000496
asPLS,011o,-475.0,-525.0,50.0,1937.90942,0.00374,,,,,,False,nearest_peak_outside_centre_tolerance,1946.1284201538197,8.219000153819707
asPLS,011o,-475.0,-525.0,50.0,2058.0,0.00361,,,,,,False,nearest_peak_outside_centre_tolerance,2087.6836769520005,29.683676952000496
asPLS,011o,-475.0,-525.0,50.0,1946.0,0.02126,1946.1284201538197,0.0565420551904836,0.1284201538196612,0.0352820551904836,165.95510437668673,True,nearest_peak_within_tolerance,1946.1284201538197,0.1284201538196612
asPLS,011o,-475.0,-525.0,50.0,1965.0,0.04632,1966.364895112633,0.0689885160732171,1.3648951126328939,0.0226685160732171,48.9389379819022,True,nearest_peak_within_tolerance,1966.364895112633,1.3648951126328939
asPLS,011o,-475.0,-525.0,50.0,2084.0,0.01527,,,,,,False,nearest_peak_outside_centre_tolerance,2087.6836769520005,3.6836769520004964
asPLS,011o,-475.0,-525.0,50.0,1907.6,0.01598,,,,,,False,nearest_peak_outside_centre_tolerance,1910.532825407081,2.9328254070810544
asPLS,011o,-475.0,-525.0,50.0,1952.0,0.01305,,,,,,False,nearest_peak_outside_centre_tolerance,1946.1284201538197,5.871579846180339
asPLS,011o,-475.0,-525.0,50.0,1868.0,0.00538,,,,,,False,nearest_peak_outside_centre_tolerance,1910.532825407081,42.53282540708096
asPLS,011o,-475.0,-525.0,50.0,1991.0,0.00351,,,,,,False,nearest_peak_outside_centre_tolerance,1966.364895112633,24.635104887367106
asPLS,011p,-500.0,-525.0,25.0,2076.0,0.00959,,,,,,False,nearest_peak_outside_centre_tolerance,1966.4140969456375,109.58590305436246
asPLS,011p,-500.0,-525.0,25.0,1937.90942,0.00374,,,,,,False,nearest_peak_outside_centre_tolerance,1946.036572264492,8.127152264491997
asPLS,011p,-500.0,-525.0,25.0,2058.0,0.00361,,,,,,False,nearest_peak_outside_centre_tolerance,1966.4140969456375,91.58590305436246
asPLS,011p,-500.0,-525.0,25.0,1946.0,0.02126,1946.036572264492,0.0455915534854749,0.0365722644919515,0.024331553485474902,114.44757048671165,True,nearest_peak_within_tolerance,1946.036572264492,0.0365722644919515
asPLS,011p,-500.0,-525.0,25.0,1965.0,0.04632,1966.4140969456375,0.0739621891802061,1.4140969456375387,0.027642189180206098,59.67657422324287,True,nearest_peak_within_tolerance,1966.4140969456375,1.4140969456375387
asPLS,011p,-500.0,-525.0,25.0,2084.0,0.01527,,,,,,False,nearest_peak_outside_centre_tolerance,1966.4140969456375,117.58590305436246
asPLS,011p,-500.0,-525.0,25.0,1907.6,0.01598,,,,,,False,nearest_peak_outside_centre_tolerance,1909.729929314632,2.129929314632136
asPLS,011p,-500.0,-525.0,25.0,1952.0,0.01305,,,,,,False,nearest_peak_outside_centre_tolerance,1946.036572264492,5.9634277355080485
asPLS,011p,-500.0,-525.0,25.0,1868.0,0.00538,,,,,,False,nearest_peak_outside_centre_tolerance,1909.729929314632,41.729929314632045
asPLS,011p,-500.0,-525.0,25.0,1991.0,0.00351,,,,,,False,nearest_peak_outside_centre_tolerance,1966.4140969456375,24.58590305436246
asPLS,011q,-550.0,-525.0,25.0,2076.0,0.00959,,,,,,False,nearest_peak_outside_centre_tolerance,2088.0374234832484,12.037423483248403
asPLS,011q,-550.0,-525.0,25.0,1937.90942,0.00374,,,,,,False,nearest_peak_outside_centre_tolerance,1966.2807055305293,28.37128553052935
asPLS,011q,-550.0,-525.0,25.0,2058.0,0.00361,,,,,,False,nearest_peak_outside_centre_tolerance,2088.0374234832484,30.037423483248403
asPLS,011q,-550.0,-525.0,25.0,1946.0,0.02126,,,,,,False,nearest_peak_outside_centre_tolerance,1966.2807055305293,20.280705530529303
asPLS,011q,-550.0,-525.0,25.0,1965.0,0.04632,1966.2807055305293,0.0749892850098015,1.2807055305293034,0.028669285009801496,61.89396591062499,True,nearest_peak_within_tolerance,1966.2807055305293,1.2807055305293034
asPLS,011q,-550.0,-525.0,25.0,2084.0,0.01527,,,,,,False,nearest_peak_outside_centre_tolerance,2088.0374234832484,4.0374234832484035
asPLS,011q,-550.0,-525.0,25.0,1907.6,0.01598,,,,,,False,nearest_peak_outside_centre_tolerance,1966.2807055305293,58.680705530529394
asPLS,011q,-550.0,-525.0,25.0,1952.0,0.01305,,,,,,False,nearest_peak_outside_centre_tolerance,1966.2807055305293,14.280705530529303
asPLS,011q,-550.0,-525.0,25.0,1868.0,0.00538,,,,,,False,nearest_peak_outside_centre_tolerance,1966.2807055305293,98.2807055305293
asPLS,011q,-550.0,-525.0,25.0,1991.0,0.00351,,,,,,False,nearest_peak_outside_centre_tolerance,1966.2807055305293,24.719294469470697
asPLS,011r,-600.0,-625.0,25.0,1937.90942,0.00469,,,,,,False,nearest_peak_outside_centre_tolerance,1951.496226397508,13.586806397508099
asPLS,011r,-600.0,-625.0,25.0,1946.0,0.02543,,,,,,False,nearest_peak_outside_centre_tolerance,1951.496226397508,5.496226397508053
asPLS,011r,-600.0,-625.0,25.0,1965.0,0.04656,1966.291879602503,0.066052473980778,1.2918796025030588,0.019492473980778004,41.865279168337636,True,nearest_peak_within_tolerance,1966.291879602503,1.2918796025030588
asPLS,011r,-600.0,-625.0,25.0,2074.0,0.00846,,,,,,False,nearest_peak_outside_centre_tolerance,2076.820072313729,2.820072313728815
asPLS,011r,-600.0,-625.0,25.0,2084.0,0.01455,,,,,,False,nearest_peak_outside_centre_tolerance,2088.20982555872,4.2098255587197855
asPLS,011r,-600.0,-625.0,25.0,1907.6,0.01951,1908.6291949425088,0.0270394517442323,1.029194942508866,0.0075294517442323,38.59278187715172,True,nearest_peak_within_tolerance,1908.6291949425088,1.029194942508866
asPLS,011r,-600.0,-625.0,25.0,1952.0,0.01371,1951.496226397508,0.0311530426700783,0.5037736024919468,0.0174430426700783,127.22861174382423,True,nearest_peak_within_tolerance,1951.496226397508,0.5037736024919468
asPLS,011r,-600.0,-625.0,25.0,1868.0,0.00293,,,,,,False,nearest_peak_outside_centre_tolerance,1908.6291949425088,40.629194942508775
asPLS,011r,-600.0,-625.0,25.0,1914.0,0.00242,,,,,,False,nearest_peak_outside_centre_tolerance,1908.6291949425088,5.370805057491225
asPLS,011r,-600.0,-625.0,25.0,2122.0,0.00313,,,,,,False,nearest_peak_outside_centre_tolerance,2088.20982555872,33.790174441280215
asPLS,011s,-700.0,-725.0,25.0,1937.90942,0.00195,,,,,,False,nearest_peak_outside_centre_tolerance,1951.718619082996,13.809199082995974
asPLS,011s,-700.0,-725.0,25.0,1946.0,0.02496,,,,,,False,nearest_peak_outside_centre_tolerance,1951.718619082996,5.718619082995929
asPLS,011s,-700.0,-725.0,25.0,1965.0,0.05056,1966.09606092538,0.0495308702635477,1.0960609253800158,0.0010291297364522986,2.0354622951983754,True,nearest_peak_within_tolerance,1966.09606092538,1.0960609253800158
asPLS,011s,-700.0,-725.0,25.0,2074.0,0.0095,,,,,,False,nearest_peak_outside_centre_tolerance,2077.220717492084,3.220717492084077
asPLS,011s,-700.0,-725.0,25.0,2084.0,0.01487,,,,,,False,nearest_peak_outside_centre_tolerance,2077.220717492084,6.779282507915923
asPLS,011s,-700.0,-725.0,25.0,1907.6,0.01327,1908.19577749165,0.0263278503511385,0.5957774916500966,0.0130578503511385,98.40128373126224,True,nearest_peak_within_tolerance,1908.19577749165,0.5957774916500966
asPLS,011s,-700.0,-725.0,25.0,2063.0,0.00312,,,,,,False,nearest_peak_outside_centre_tolerance,2077.220717492084,14.220717492084077
asPLS,011s,-700.0,-725.0,25.0,1952.0,0.01026,1951.718619082996,0.0449813325278142,0.2813809170040713,0.0347213325278142,338.4145470547193,True,nearest_peak_within_tolerance,1951.718619082996,0.2813809170040713
asPLS,011s,-700.0,-725.0,25.0,1914.0,0.00366,,,,,,False,nearest_peak_outside_centre_tolerance,1908.19577749165,5.804222508349994
asPLS,011t,-800.0,-825.0,25.0,1937.90942,0.00438,,,,,,False,nearest_peak_outside_centre_tolerance,1951.7104821652017,13.801062165201756
asPLS,011t,-800.0,-825.0,25.0,1946.0,0.02044,,,,,,False,nearest_peak_outside_centre_tolerance,1951.7104821652017,5.710482165201711
asPLS,011t,-800.0,-825.0,25.0,1965.0,0.04666,1965.954497323496,0.0491776362316399,0.9544973234960707,0.0025176362316398984,5.3957055971708066,True,nearest_peak_within_tolerance,1965.954497323496,0.9544973234960707
asPLS,011t,-800.0,-825.0,25.0,2074.0,0.01123,,,,,,False,nearest_peak_outside_centre_tolerance,2076.3804443429963,2.3804443429962703
asPLS,011t,-800.0,-825.0,25.0,2084.0,0.01718,,,,,,False,nearest_peak_outside_centre_tolerance,2087.860741700368,3.8607417003681803
asPLS,011t,-800.0,-825.0,25.0,1907.6,0.01207,1908.86330202535,0.0234501119602948,1.2633020253501854,0.0113801119602948,94.28427473317979,True,nearest_peak_within_tolerance,1908.86330202535,1.2633020253501854
asPLS,011t,-800.0,-825.0,25.0,1952.0,0.01381,1951.7104821652017,0.0460009385838478,0.2895178347982892,0.032190938583847806,233.09875875342368,True,nearest_peak_within_tolerance,1951.7104821652017,0.2895178347982892
asPLS,011t,-800.0,-825.0,25.0,2062.0,0.04666,,,,,,False,nearest_peak_outside_centre_tolerance,2076.3804443429963,14.38044434299627
asPLS,011t,-800.0,-825.0,25.0,1914.0,0.00433,,,,,,False,nearest_peak_outside_centre_tolerance,1908.86330202535,5.1366979746499055
