peak_result_id,fit_attempt_id,peak_index,peak_identity,peak_assignment_status,reference_evidence_ids,matched_reference_centre_cm1,initial_centre_cm1,initial_model_amplitude,initial_fwhm_cm1,fitted_centre_cm1,centre_deviation_cm1,raw_model_amplitude,raw_width_parameter,raw_width_parameter_name,peak_height,peak_area,fwhm_cm1,position_stderr,height_stderr,area_stderr,fwhm_stderr,peak_valid,peak_valid_reason,needs_manual_review,manual_review_reason,notes
erni-aspls-011n-lorentzian-p002,erni-aspls-011n-lorentzian,2,,unassigned,,,1946.2242242242241,,,1946.0531451847844,,0.06446973962548141,2.6722001972567955,gamma,0.06446973962548141,0.5412211760360917,5.344400394513591,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011n-lorentzian-p003,erni-aspls-011n-lorentzian,3,,unassigned,,,1966.4114114114113,,,1966.5266702207684,,0.07351895264503658,2.6798877815743993,gamma,0.07351895264503658,0.6189645733900343,5.359775563148799,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011n-lorentzian-p004,erni-aspls-011n-lorentzian,4,,unassigned,,,2087.835835835836,,,2087.815964187547,,0.01888605268131792,2.529819984735535,gamma,0.01888605268131792,0.15009999871125346,5.05963996947107,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011o-gaussian-p001,erni-aspls-011o-gaussian,1,,unassigned,,,1910.3693693693695,,,1910.532825407081,,0.24479693394497481,3.8048010278804005,sigma,0.02566753066656209,0.24479693394497481,8.959621727807127,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011o-gaussian-p002,erni-aspls-011o-gaussian,2,,unassigned,,,1946.2242242242241,,,1946.1284201538194,,0.43555047138293473,3.0731019185286295,sigma,0.056542055190483644,0.43555047138293473,7.236601998174284,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011o-gaussian-p003,erni-aspls-011o-gaussian,3,,unassigned,,,1966.4114114114113,,,1966.3648951126331,,0.5031466037730773,2.9095632854667803,sigma,0.06898851607321718,0.5031466037730773,6.85149794690328,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011o-gaussian-p004,erni-aspls-011o-gaussian,4,,unassigned,,,2087.835835835836,,,2087.6836769520005,,0.09868027180604665,2.3503377067286846,sigma,0.016749819633252363,0.09868027180604665,5.534622344396779,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011o-lorentzian-p001,erni-aspls-011o-lorentzian,1,,unassigned,,,1910.3693693693695,,,1910.4238827739537,,0.027402933691982406,3.384346691675409,gamma,0.027402933691982406,0.29135453219669405,6.768693383350818,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011o-lorentzian-p002,erni-aspls-011o-lorentzian,2,,unassigned,,,1946.2242242242241,,,1946.0812008115126,,0.06080489995557769,2.6520123636359503,gamma,0.06080489995557769,0.5065986117651746,5.3040247272719006,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011o-lorentzian-p003,erni-aspls-011o-lorentzian,3,,unassigned,,,1966.4114114114113,,,1966.3987262409032,,0.07432089869000395,2.596325558488491,gamma,0.07432089869000395,0.6062056416534801,5.192651116976982,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
